区域,省份,户数,家庭户,集体户,人数,男,女
全国,全国,186650198,183772719,2877479,509787562,264595042,245192520
华北,北京,1102358,1044136,58222,2726662,1488424,1238238
华北,天津,796079,769465,26614,2121569,1098351,1023218
华北,河北,10694409,10653005,41404,29793749,15207373,14586376
华北,山西,5233277,5132207,101070,13084122,6855573,6228549
华北,内蒙古,3340824,3254705,86119,7821680,4136772,3684908
东北,辽宁,4693537,4658168,35369,11865431,6070813,5794618
东北,吉林,3581973,3499221,82752,8994439,4629137,4365302
东北,黑龙江,4596736,4537619,59117,10952394,5640170,5312224
华东,上海,1300154,1214985,85169,2661515,1508990,1152525
华东,江苏,8791054,8573093,217961,22505633,11510786,10994847
华东,浙江,7515927,7304591,211336,17969123,9445605,8523518
华东,安徽,9774721,9698592,76129,25432068,13208668,12223400
华东,福建,4765772,4643405,122367,12982839,6827964,6154875
华东,江西,6092205,6014794,77411,17878024,9366260,8511764
华东,山东,14268466,14175425,93041,37513199,19083645,18429554
中南,河南,15427689,15299921,127768,44286965,22202937,22084028
中南,湖北,7892458,7783924,108534,21432183,11290985,10141198
中南,湖南,10125251,10062535,62716,27398688,14281054,13117634
中南,广东,10340668,349872,32576438,17163861,15412577,111.36
中南,广西,7828136,7759960,68176,22955848,12119132,10836716
中南,海南,1208978,1168205,40773,4005251,2155432,1849819
西南,重庆,4284300,4230794,53506,9790131,5169776,4620355
西南,四川,14241286,14035411,205875,36208954,18870936,17338018
西南,贵州,6312291,6217272,95019,18066202,9397708,8668494
西南,云南,7341822,7256994,84828,23580713,12432456,11148257
西南,西藏,574805,559454,15351,2344657,1216478,1128179
西北,陕西,5474257,5366930,107327,14759269,7679000,7080269
西北,甘肃,3996427,3945795,50632,11952499,6146432,5806067
西北,青海,726244,716133,10111,2364594,1223114,1141480
西北,宁夏,894047,869893,24154,2524000,1323169,1200831
西北,新疆,3434047,3335291,98756,11238723,5844041,5394682
